Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-29 09:00:00,946_94
2000-01-29 10:00:00,944_54
2000-01-29 11:00:00,942_16
2000-01-29 12:00:00,939_8
2000-01-29 13:00:00,937_47
2000-01-29 14:00:00,935_17
2000-01-29 15:00:00,932_89
2000-01-29 16:00:00,930_63
2000-01-29 17:00:00,928_4
2000-01-29 18:00:00,926_2
2000-01-29 19:00:00,924_03
2000-01-29 20:00:00,921_87
2000-01-29 21:00:00,919_73
2000-01-29 22:00:00,917_63
2000-01-29 23:00:00,915_55
2000-01-30 00:00:00,913_49
2000-01-30 01:00:00,911_47
2000-01-30 02:00:00,909_48
2000-01-30 03:00:00,907_46
2000-01-30 04:00:00,905_39
2000-01-30 05:00:00,903_27
